content;group;start;title
Corbara;0;2015-01-01;"2015-01-01 : Attentat contre la coopérative oléicole de Balagne (Corse) avec une explosion faisant des dégâts moyens. Il n'a pas été revendiqué[1].
"
Paris;23;2015-01-07;"2015-01-07 : Attentat contre Charlie Hebdo. Deux hommes cagoulés armés, les frères Kouachi, pénètrent dans les locaux de la rédaction du magazine Charlie Hebdo à Paris, tuant 12 personnes (dont un policier abattu en pleine rue) et faisant 11 blessés.
"
Montrouge;2;2015-01-08;"2015-01-08 : Fusillade à Montrouge contre une policière municipale et un agent municipal par Amedy Coulibaly, faisant 1 mort et 1 blessé grave.
"
Paris;?;2015-01-09;"2015-01-09 : Prise d'otages du magasin Hyper Cacher de la porte de Vincennes par Amedy Coulibaly.
"
Dammartin-en-Goële;?;2015-01-09;"2015-01-09 : Prise d'otage dans une imprimerie à Dammartin-en-Goël par les frères Chérif et Saïd Kouachi, auteurs de l'attentat à Charlie Hebdo. Ils sont abattus par les forces de l'ordre lors de cet assaut.
"
Venzolasca;0;2015-01-24;"2015-01-24 : Destruction à l'explosif de la résidence d'un continental dans l'est de la Corse faisant des dégâts très importants. L'attentat n'est pas revendiqué[2].
"
Nice;3;2015-02-03;"2015-02-03 : Attaque contre 3 militaires à Nice en mission dans le cadre du plan Vigipirate à l'arme blanche devant un centre communautaire juif par Moussa Coulibaly. Quelques instants après l'agression, il est intercepté par les forces de l'ordre. Durant sa garde à vue, il évoque sa haine des juifs et des militaires et dénonce les persécutions dont les musulmans seraient victimes selon lui[3].
"
Vescovato;0;2015-03-23;"2015-03-23 : Destruction d'une maison en construction par explosif en Corse. L'attentat n'est pas revendiqué[4].
"
Montélimar;0;2015-04-03;"2015-04-03 : Un projet d'attentat a été déjoué. Quatre élèves d’un lycée militaire de l’Isère ont été mis en examen pour avoir projeté de faire exploser une mosquée. Âgés de 16 à 17 ans, les quatre pensionnaires de ce lycée militaire avaient déjà commencé à réunir du matériel, s’étaient renseignés sur la préparation d’explosif et avaient effectué des repérages des lieux.[5].
"
Villejuif;?;2015-04-19;"2015-04-19 : Sid Ahmed Ghlam, algérien islamiste radical de 24 ans, préparait à l'heure de la messe un attentat contre les deux principales églises  : Saint-Cyr-Sainte-Julitte au centre ville et Sainte-Thérèse au nord. Selon le curé de Saint-Cyr-Sainte-Julitte, il y avait trois cents personnes et la cérémonie n'était pas protégée par la police. À 8 h 50, il appelle le SAMU, car il est blessé gravement à la hanche et à la rotule par deux balles. Selon les enquêteurs il se serait lui-même blessé au cours de la tentative de vol du véhicule de Aurélie Châtelain, celle-ci est tuée et il aurait ensuite brûlé la voiture, qui contenait le corps de la jeune femme, avant de regagner le 13 . La police arrête alors Ghlam et évite ainsi le massacre[6].
"
Saint-Quentin-Fallavier;1;2015-06-26;"2015-06-26 : Attentat de Saint-Quentin-Fallavier, à l'aide d'une voiture bélier, un homme fait exploser des bonbonnes de gaz dans une usine industrielle classée Seveso. Un corps décapité avec des inscriptions en arabe et la profession de foi musulmane est retrouvé à proximité du site. Le suspect est algéro-marocain et en lien avec la mouvance salafiste. L'auteur des faits nie la dimension terroriste.
"
;0;2015-07-13;"2015-07-13 : Trois individus sont interpellés pour un projet d'attentat contre une installation militaire. Un mineur de 17 ans, un jeune majeur de 19 ans et un ancien matelot réformé de la marine française de 23 ans. Interpellés dans les départements des Bouches-du-Rhône, du Rhône et des Yvelines, ils auraient reconnu leurs intentions durant leur garde à vue[7].
"
San-Martino-di-Lota;0;2015-08-06;"2015-08-06 : Une villa neuve explose dans le lieu-dit de Miomo à 5 km au nord de Bastia. L'attentat n'est pas revendiqué[8].
"
Oignies;3;2015-08-21;"2015-08-21 : Attentat du train Thalys par Ayoub El Khazzani, armé d'un fusil d'assaut AKM, il tente de tirer sur les passagers du train. Il sera désarmé par 3 Marines américains se trouvant dans le Thalys no 9364 reliant Amsterdam à Paris. Il blesse trois passagers avant d'être maîtrisé. L'auteur des faits nie la dimension terroriste.
"
Base navale de Toulon;0;2015-10-29;"2015-10-29 : Un jeune Toulonnais de vingt-cinq ans, Hakim Marnissi, est arrêté alors qu'il préparait un attentat contre des militaires.
Il prête allégeance à l'État islamique. Il était en contact avec un djihadiste français en Syrie et aurait reçu deux colis contenants un couteau et deux cagoules[9]. 
« Il s'est radicalisé de manière fulgurante, confie au Figaro une source informée. Après avoir rompu de manière progressive avec sa famille et son entourage proche, il s'est muré dans une attitude silencieuse, puis de repli identitaire. »[10]

"
Saint-Denis (Seine-Saint-;?;2015-11-13;"2015-11-13 : Attentats du 13 novembre perpétré par trois commandos distincts de 9 hommes par une série de fusillades dans 4 restaurants-Bistro du Xe et XIe arrondissements (40 morts) ainsi qu'une prise d'otage dans une salle de concert ""Le Bataclan"" dans le XIe arrondissements à Paris (90 morts) et à Saint-Denis au Stade de France par 3 actions kamikazes (1 mort). Ces six attaques sont les premières en Occident directement planifiées, organisées, exécutées et revendiquées officiellement par l'État islamique.
"
Saint-Denis;?;2015-11-18;"2015-11-18 : A la suite des attentats du 13 novembre 2015 en France, une opération antiterroriste d'envergure est menée. Au cours de cet assaut, les forces de la BRI et du RAID sont appelées pour déloger des terroristes retranchés dans un appartement. 5 000 munitions sont tirées du côté des forces de l'ordre. Cet assaut aura blessé cinq policiers et tué une chienne prénommée Diesel appartenant au RAID. Du côté des terroristes, il y a 3 morts dont Abdelhamid Abaaoud et 8 personnes sont placées en garde à vue. D'après le procureur de la république, ces terroristes constituaient une nouvelle équipe et auraient pu passer à l'acte.
"
Orléans (Loiret);0;2015-12-22;"2015-12-22 : Un projet d'attentat est déjoué. Deux personnes sont interpellées et leur audition confirme qu'elles visaient des casernes militaires, des gendarmeries et des commissariats. Ces deux hommes âgés de 24 et 25 ans étaient en contact avec une ou plusieurs personne(s) basée(s) en Syrie. Ils avaient réuni les fonds et cherchaient activement à se procurer des armes pour passer le plus vite possible à l'acte. Ils sont mis en examen et placés en détention provisoire pour « association de malfaiteurs en lien avec une entreprise terroriste ». Depuis 2 ans, 10 attentats terroristes ont été déjoués par les services de sécurité français.[11]
"
Montpellier (Hérault);0;2015-12-23;"2015-12-23 : Un couple est arrêté. Les services de renseignement français confirment qu'une femme radicalisée aurait préparé un attentat suicide. Elle avait un faux ventre de femme enceinte chez elle entouré d'aluminium, certainement pour placer des explosifs à l'intérieur et avait récemment fait des recherches sur les femmes kamikazes.[12]
"
Valence (Drôme);?;2016-01-01;2016-01-01
"Paris, 18e
arrondissement";?;2016-01-07;2016-01-07
Marseille (Bouches-du-Rhô;?;2016-01-11;2016-01-11
Argenteuil, (Val-d'Oise);?;2016-03-24;2016-03-24
Strasbourg, (Bas-Rhin);?;2016-04-24;2016-04-24
Magnanville (Yvelines);?;2016-06-13;2016-06-13
Nice (Alpes-Maritimes);?;2016-07-14;2016-07-14
Saint-Étienne-du-Rouvray ;?;2016-07-26;2016-07-26
Carcassonne;?;2016-06-13;2016-06-13
Metz;?;2016-09-03;2016-09-03
Rue de la Bûcherie (5e ar;?;2016-09-04;2016-09-04
Strasbourg, (Bas-Rhin);?;2016-11-19;2016-11-19
Marseille, (Bouches-du-Rh;?;2016-11-20;2016-11-20
Paris;?;2017-02-03;2017-02-03
Paris;?;2017-03-16;2017-03-16
Aéroport de Paris-Orly, (;?;2017-03-18;2017-03-18
Corte;?;2017-03-22;2017-03-22
Bastia;?;2017-04-05;2017-04-05
Corte (Haute-Corse);?;2017-04-17;2017-04-17
Champs-Élysées, (Paris);?;2017-04-20;2017-04-20
Bastia (Haute-Corse);?;2017-04-22;2017-04-22
Furiani (Haute-Corse);?;2017-05-03;2017-05-03
Notre-Dame de Paris;?;2017-06-06;2017-06-06
Locaux d'Enedis (Crest);?;2017-06-14;2017-06-14
Avenue des Champs-Élysées;?;2017-06-19;2017-06-19
Prunelli-di-Fiumorbo;?;2017-07-05;2017-07-05
Levallois-Perret;?;2017-08-09;2017-08-09
Paris;?;2017-09-30;2017-09-30
Marseille;?;2017-10-01;2017-10-01
Pietrosella;?;2017-11-17;2017-11-17
Olmeto;?;2017-12-10;2017-12-10
Lille;?;2017-02-15;2017-02-15
Clichy-sous-Bois;?;2017-03-04;2017-03-04
Creil, Paris;?;2017-03-05;2017-03-05
