content;end;start
Quaternaire (Pléistocène/Holocène);-0;-2.588
Néogène (Miocène/Pliocène);-2.588;-23.03
Paléogène (Paléocène/Éocène/Oligocène);-23.03;-66.0
Crétacé;-66.0;-145.5
Jurassique;-145.0;-201.3
Triassique;-201.3;-252.17
Permien;-252.17;-298.9
Carbonifère (Mississippien/Pennsylvanien);-298.9;-358.9
Dévonien;-358.9;-419.2
Silurien;-419.2;-443.4
Ordovicien;-443.4;-485.4
Cambrien;-485.4;-541.0
Édiacarien;-541.0;-635.0
Cryogénien;-635;-850
Tonien;-850;-1000
Stenien;-1000;-1200
Ectasien;-1200;-1400
Calymmien;-1400;-1600
Stathérien;-1600;-1800
Orosirien;-1800;-2050
Rhyacien;-2050;-2300
Sidérien;-2300;-2500
